종목코드,종목명,개인_순매수거래량,개인_순매수거래대금,기관_순매수거래량,기관_순매수거래대금,외국인_순매수거래량,외국인_순매수거래대금,기타법인_순매수거래량,기타법인_순매수거래대금,종가,등락률,거래대금,시가총액
004170,신세계,3218,1129964500,-1106.0,-373690500.0,-2345.0,-840114500.0,267.0,96504000.0,357500,-1.38,16009518500,3376652207500
375500,DL이앤씨,-28495,-2430167450,93373.0,7958314200.0,-64653.0,-5509909650.0,-408.0,-33453600.0,85100,-2.07,21630809250,3292827317300
036460,한국가스공사,-17094,-612781900,1702.0,62405775.0,15671.0,560270675.0,-2.0,-71000.0,35550,0.85,3177609675,3281727150000
012750,에스원,-1648,-138722800,7426.0,625290300.0,-5773.0,-486143500.0,-6.0,-507600.0,83600,0.6,2144541800,3176731280800
111770,영원무역,-107,-10345550,3198.0,234199450.0,-2968.0,-214964600.0,-148.0,-10676100.0,71400,0.0,2516308650,3163838815200
336260,두산퓨얼셀,262137,12628681050,-265440.0,-12736316900.0,6262.0,248334100.0,-2923.0,-138874825.0,48150,-5.4,42478999875,3153522906900
006360,GS건설,83198,3012978000,165349.0,6066517250.0,-264698.0,-9666415375.0,11927.0,434723475.0,36600,-0.68,46757162725,3132282534000
192820,코스맥스,-7874,-2148302000,4379.0,1193924750.0,4222.0,1152551250.0,-730.0,-199005500.0,275000,0.73,14628942250,3121114975000
023530,롯데쇼핑,19546,2149803250,-64595.0,-7110298600.0,-18258.0,-2022714550.0,63383.0,6991643000.0,109500,-3.44,16509905250,3097618672500
028670,팬오션,-229276,-1324067020,100068.0,579489165.0,123462.0,711428945.0,8000.0,46210000.0,5790,0.7,6258261235,3095157474480
022100,포스코DX,40257,822658350,19170.0,393295475.0,-59851.0,-1224675350.0,9.0,181900.0,20350,-2.63,5157567750,3093906735150
035250,강원랜드,31701,453103135,36546.0,523719990.0,-71550.0,-1024107195.0,2611.0,37385620.0,14330,0.35,2682378765,3065767365000
011780,금호석유화학,1043,121853800,768.0,92201050.0,-1901.0,-224771550.0,67.0,7971000.0,119400,0.17,5025809050,3003784605000
031210,서울보증보험,2665,109815075,7398.0,308970875.0,-10555.0,-439190150.0,488.0,20238000.0,41450,0.73,1119015225,2894105237100
017800,현대엘리베이터,-3055,-227587200,9201.0,680924900.0,-6213.0,-458313600.0,67.0,4975900.0,74000,0.95,3366360500,2892836490000
007340,DN오토모티브,3204,140156125,47106.0,2309376575.0,-50527.0,-2459799700.0,531.0,25677200.0,49200,-0.2,8224487000,2878734558000
251270,넷마블,9248,317128925,-5493.0,-187412550.0,-3777.0,-130472425.0,35.0,1198500.0,34550,-0.29,4388416825,2873123583750
